code_commune,nom_commune,code_departement,nom_departement,nom_region,latitude,longitude,image_1,image_2,image_3,image_4
24362,Val de Louyre et Caudeau,24,Dordogne,Nouvelle-Aquitaine,45.00087627281414,0.8236434630396523,images\image_457_heading_0.jpg,images\image_457_heading_1.jpg,images\image_457_heading_2.jpg,images\image_457_heading_3.jpg
24253,Mareuil en Périgord,24,Dordogne,Nouvelle-Aquitaine,45.472545051738756,0.5710769899029722,images\image_458_heading_0.jpg,images\image_458_heading_1.jpg,images\image_458_heading_2.jpg,images\image_458_heading_3.jpg
24253,Mareuil en Périgord,24,Dordogne,Nouvelle-Aquitaine,45.45109578188527,0.5724708996246943,images\image_459_heading_0.jpg,images\image_459_heading_1.jpg,images\image_459_heading_2.jpg,images\image_459_heading_3.jpg
25276,Gondenans-Montby,25,Doubs,Bourgogne-Franche-Comté,47.43876235629415,6.4428054127517775,images\image_461_heading_0.jpg,images\image_461_heading_1.jpg,images\image_461_heading_2.jpg,images\image_461_heading_3.jpg
25388,Montbéliard,25,Doubs,Bourgogne-Franche-Comté,47.5185675868633,6.771508309815625,images\image_462_heading_0.jpg,images\image_462_heading_1.jpg,images\image_462_heading_2.jpg,images\image_462_heading_3.jpg
25388,Montbéliard,25,Doubs,Bourgogne-Franche-Comté,47.51935456356526,6.810323515550137,images\image_464_heading_0.jpg,images\image_464_heading_1.jpg,images\image_464_heading_2.jpg,images\image_464_heading_3.jpg
25388,Montbéliard,25,Doubs,Bourgogne-Franche-Comté,47.526635794058265,6.809196291280333,images\image_465_heading_0.jpg,images\image_465_heading_1.jpg,images\image_465_heading_2.jpg,images\image_465_heading_3.jpg
25388,Montbéliard,25,Doubs,Bourgogne-Franche-Comté,47.51533382860658,6.774085813390263,images\image_466_heading_0.jpg,images\image_466_heading_1.jpg,images\image_466_heading_2.jpg,images\image_466_heading_3.jpg
25236,Fertans,25,Doubs,Bourgogne-Franche-Comté,47.05653826555661,6.068368429482664,images\image_468_heading_0.jpg,images\image_468_heading_1.jpg,images\image_468_heading_2.jpg,images\image_468_heading_3.jpg
25340,Lombard,25,Doubs,Bourgogne-Franche-Comté,47.07570170953656,5.84333411978781,images\image_469_heading_0.jpg,images\image_469_heading_1.jpg,images\image_469_heading_2.jpg,images\image_469_heading_3.jpg
25614,Vieux-Charmont,25,Doubs,Bourgogne-Franche-Comté,47.534571405015775,6.837576879780755,images\image_470_heading_0.jpg,images\image_470_heading_1.jpg,images\image_470_heading_2.jpg,images\image_470_heading_3.jpg
25632,Voujeaucourt,25,Doubs,Bourgogne-Franche-Comté,47.48023796048987,6.778135821422286,images\image_472_heading_0.jpg,images\image_472_heading_1.jpg,images\image_472_heading_2.jpg,images\image_472_heading_3.jpg
25624,Villers-Grélot,25,Doubs,Bourgogne-Franche-Comté,47.37388592749827,6.24105995875681,images\image_473_heading_0.jpg,images\image_473_heading_1.jpg,images\image_473_heading_2.jpg,images\image_473_heading_3.jpg
